,name,area,latest_version,latest_dataset_id,project_id_str
243,Harrah City,0.7171910694372552,1.4,44e1d45a-d316-4697-beb9-4b2f22408bde,6797b83fecb81153f8342382
260,Island UI,47.014196794876504,1.7,b7a25d7b-115a-4cf0-86c9-926e6b73cc9c,67a34fbcecb81153f834255e
261,Kitsap UI,4.114895595719417,1.8,56d15dcb-8a3e-4431-b44b-2d53c0ddf67d,67a34ff4ecb81153f8342561
262,Skagit UI,55.81880928064713,1.8,91f2a4f3-b44e-4c6e-8d73-84cc9a3b685d,67a3504decb81153f8342564
264,Yakima UI,82.55503771672286,1.9,1374b359-7a56-475b-891b-f45201947e25,67a5dd61ecb81153f83425c9
265,Lewis UI,53.37975491054643,2.0,453f8c2e-2772-46d0-a0ad-fc9bf31c18e2,67a5dd9cecb81153f83425cc
266,Clark UI,26.21746109039967,1.7,dbf5b7de-1fdf-4f77-8bf7-f95c4fb350a4,67a5ddd9ecb81153f83425cf
267,Cowlitz UI,46.4299825701075,1.4,9c1fabf7-1d07-4f3a-80de-3308b357f13b,67a5ddfaecb81153f83425d2
269,Pacific UI,16.291108778446382,1.9,7a3d083d-fb05-4b45-bf11-af78f395b3d3,67a9a16a260e33324f159284
270,Okanogan UI,11.571551215783067,2.0,5f103637-961b-44e2-bb84-83e377de0b0a,67a9a9b6260e33324f159288
271,Walla Walla UI,9.640038348127028,2.0,1eb41946-1789-45dc-b4cb-f3e01906a26c,67a9b6c1260e33324f15928c
274,Thurston UI,43.676571525527336,1.8,aa5b68f3-c8a7-4f6d-93dc-0645458f91f6,67a9b91b260e33324f15928e
275,Clallam UI,44.91571079877635,1.8,4c5a82a2-0b8a-4405-bf4c-d6154d92d0c8,67a9ad60260e33324f15928a
276,Chelan UI,10.054065541813207,2.0,aef885b8-8e42-421e-a0e3-a3bfa34cb79a,67a9a98f260e33324f159286
277,Kitittas UI,18.86312100145126,2.0,7126d7b5-4f81-4359-9c8c-f176bf515e45,67a99a0b260e33324f159282
278,Grays Harbor UI,19.97670248115487,2.1,1e7ed732-f470-4ae9-bfca-2e9c1e3fc6ac,67a9939a260e33324f159280
279,Bremerton,80.7219851530746,1.6,029974f1-a2e1-4a8e-8fdd-2d082ed823f5,67ad8ac5621406baeaa023f3
280,Richland,117.73222346299482,1.7,d7b0511c-55c9-45ed-9450-ed073418f025,67ad9537621406baeaa02408
281,Anacortes,33.20934254737887,1.6,7cdcb1bd-4ba5-4ad8-8204-b57a4d9da8f1,67ad9725621406baeaa0240f
284,Missing tiles,14.611679099786508,1.4,2fc23c1c-6d39-4ecf-866d-fa07e315cad2,67d167cae784212bf527041f
285,Douglas UI,31.39104729438439,1.9,3a7994b3-3f6a-4936-a2d6-da7fbd9bcf39,67d16be1a7ada07038a1e063
286,Asotin City,3.0741864490630944,1.4,3fb7a920-c732-4ad6-823b-f69154d88f77,684678487fe063e3230ca8dd
287,Beaux Arts Village City,0.21056898566865392,1.4,3643c035-1a05-4420-b2b9-33d4d078bd5a,6846787f7fe063e3230ca8e0
288,Bingen City,2.2523289054647333,1.4,0534f6b8-bb19-4944-80db-55513e8c7dfb,684678b67fe063e3230ca8e3
289,Cathlamet City,1.3060725566687983,1.4,7744de12-8d19-424c-9d9f-a610cb1287f4,6846790e7fe063e3230ca8e6
290,Chewelah City,7.491478092925659,1.4,2a0376b6-a1f0-4fdb-bdd4-23f80caf9ca0,68467fcc7fe063e3230ca8ec
291,Clarkston City,5.280960542751741,1.4,b39a297b-228f-40a9-a219-fb8f7c07d11e,68467fef7fe063e3230ca8ee
292,Clyde Hill City,2.7570507981403316,1.4,61cbb6e7-ecff-4237-a1f8-25bf2e7c9e98,684680147fe063e3230ca8f0
