County,count
Pierce,50
Snohomish,37
King,28
Yakima,27
Grays Harbor,23
Grant,22
Whatcom,19
Spokane,18
Skagit,17
Kitsap,16
Stevens,15
Ferry,14
Kittitas,13
Lewis,13
Clark,12
Clallam,12
Pacific,11
Thurston,10
Chelan,10
Klickitat,10
Walla Walla,10
Mason,9
Wahkiakum,9
Island,7
Okanogan,7
Franklin,6
Douglas,6
Benton,6
Jefferson,5
Pend Oreille,4
Asotin,3
San Juan,3
Cowlitz,2
Garfield,1
Skamania,1
Columbia,1
Whitman,1
